id,name,tag,x,y,district,IDDIST,direction,stars,n_reviews,min_price,max_price,platform
165570,RESTAURANTE CEVICHERIA BAHÍA AZUL,Marisquería,-12.103187,-77.0017355,SAN BORJA,150130,"Jr. Isaac Albeniz 245, Lima 15036",41,245, , ,googleplaces
28718,Tanta- Perú,Restaurante,-12.0972833,-76.9951041,SAN BORJA,150130,San Borja 15037,45,2, , ,googleplaces
291702,Onigiri,Restaurante,-12.0907441,-77.0034781,SAN BORJA,150130,"Av. Aviación 2496, San Borja 15036",41,112, , ,googleplaces
207250,Cevicheria Buena Pesca,Restaurante,-12.0825299,-76.9935172,SAN BORJA,150130,"Avenida Agustín de la Rosa Toro 1106, San Borja 15021",44,260, , ,googleplaces
296612,Chifa nuevo sol,Restaurante de cocina sudamericana,-12.0952592,-76.9953174,SAN BORJA,150130,"Av San Luis 2283, Cercado de Lima 15037",41,76, , ,googleplaces
157800,Pizza Hut,Pizzería,-12.096865,-77.0025543,SAN BORJA,150130,"Av. Aviación 2828, San Borja 15036",43,324, , ,googleplaces
63278,El Merendero,Restaurante peruano,-12.0853041,-77.003723,SAN BORJA,150130,"Av. Aviación 2365, San Borja 15034",44,87, , ,googleplaces
254832,Matambre San Borja,Restaurante de comida rápida,-12.0864707,-76.9989853,SAN BORJA,150130,"Ca. de las Bellas Artes 200, San Borja 15021",50,1, , ,googleplaces
172442,Mr. Sushi,Restaurante de sushi,-12.0893776,-77.0044806,SAN BORJA,150130,"Calle Morelli 140, Cercado de Lima 15036",41,19, , ,googleplaces
191798,Shawarma Kebab,Restaurante,-12.0907441,-77.0034781,SAN BORJA,150130,"Av. Aviación 2496, San Borja 15036",39,21, , ,googleplaces
292832,Bembos - Real Plaza Primavera,Hamburguesería,-12.1105873,-77.0018025,SAN BORJA,150130,"Centro Comercial Real Plaza Primavera, Av. Angamos 2681, San Borja 15036",42,837, , ,googleplaces
126731,KFC,Restaurante de comida rápida,-12.1106221,-77.0017573,SAN BORJA,150130,"Real Plaza Primavera, Av. Angamos 2681, San Borja 15036",40,214, , ,googleplaces
218022,Sanguchón campesino,Restaurante de comida rápida,-12.0984671,-77.0018471,SAN BORJA,150130,"Av. Aviación 2931, San Borja 15036",40,318, , ,googleplaces
62452,San Miguel,Restaurante,-12.0982235,-77.0023068,SAN BORJA,150130,"Av. Aviación 2908, Lima 15037",44,8, , ,googleplaces
293256,Kaldi Café,Restaurante,-12.105895,-77.000799,SAN BORJA,150130,"Av. Aviación 3421, San Borja 15037",40,58, , ,googleplaces
6154,Llama Llama,Restaurante,-12.0897351,-76.9964017,SAN BORJA,150130,"Av San Luis 1994, San Borja 15037",10,1, , ,googleplaces
45986,Pezkando,Restaurante,-12.0910922,-76.9958702,SAN BORJA,150130,"Av San Luis 2079, San Borja 15037",50,1, , ,googleplaces
97422,La Isla del Encanto II,Restaurante peruano,-12.0824505,-76.9935517,SAN BORJA,150130,"Avenida Agustín de la Rosa Toro 1102, San Borja 15021",41,59, , ,googleplaces
274127,Restaurant Mi Familia,Restaurante,-12.0998703,-77.0020819,SAN BORJA,150130,"Av. Aviación 3014, San Borja 15037",36,40, , ,googleplaces
260649,Friday's,Restaurante,-12.0972832,-76.995104,SAN BORJA,150130,"Rambla, San Borja 15037",37,3, , ,googleplaces
120725,Marlon's Restaurant,Restaurante peruano,-12.0852254,-77.003665,SAN BORJA,150130,"Av. Aviacion, 2361, Las Torres de San Borja, San Borja, Cercado de Lima 15021",20,1, , ,googleplaces
31013,Calle Beta San Borja,Restaurante,-12.1093541,-76.9981095,SAN BORJA,150130,"Beta, San Borja 15037",43,8, , ,googleplaces
74124,Chicharroneria,Restaurante,-12.0855684,-76.9966058,SAN BORJA,150130,"Multimercados, Av San Luis 1851, San Borja 15021",50,2, , ,googleplaces
222559,Mr. Leña,Bar restaurante,-12.078563,-76.9887774,SAN LUIS,150134,"Av Circunvalación 2592, San Borja 15021",42,324, , ,googleplaces
22123,MadBar.,Bar,-12.0972045,-77.0114055,SAN BORJA,150130,"Av. Guardia Civil 727, San Borja 15036",43,340, , ,googleplaces
53652,Bembos,Restaurante de comida rápida,-12.096518,-77.0025291,SAN BORJA,150130,"Av. Aviación 2824, San Borja 15036",39,1232, , ,googleplaces
111919,Bembos,Restaurante de comida rápida,-12.0903162,-77.0048455,SAN BORJA,150130,"Avenida Javier Prado Este 2050 San Borja, Cercado de Lima",40,456, , ,googleplaces
157011,Restaurant EL ENCUENTRO,Restaurante peruano,-12.0942097,-76.9953723,SAN BORJA,150130,"Av San Luis 2239, San Borja 15037",43,7, , ,googleplaces
208037,Restaurant La Tabola,Restaurante,-12.089518,-77.0031779,SAN BORJA,150130,"Av. Aviación 2459, San Borja 15037",37,27, , ,googleplaces
16805,Donde Sandro,Restaurante,-12.0862905,-77.0040932,SAN BORJA,150130,"Av. Aviación 2356, San Borja 15034",50,1, , ,googleplaces
244035,KFC,Restaurante especializado en pollo,-12.0893317,-77.0053085,SAN BORJA,150130,"10, La Rambla, San Borja, Calle Morelli 200, Cercado de Lima 15036",41,10, , ,googleplaces
44479,Aci gusto,Restaurante peruano,-12.0896969,-76.99644,SAN BORJA,150130,"Av San Luis 3078, San Borja 15037",36,110, , ,googleplaces
121610,La Rambla Gourmet,Zona de restauración,-12.0906932,-77.0041927,SAN BORJA,150130,San Borja 15036,45,10, , ,googleplaces
37731,Cevichería Richard - San Borja,Restaurante,-12.084835,-77.0037864,SAN BORJA,150130,"Av. Aviación 2337, Cercado de Lima 15021",37,64, , ,googleplaces
107998,BarYtono Disco Bar & Karaoke,Karaoke,-12.0956847,-77.0026779,SAN BORJA,150130,"Lima, Av. Aviación 2764, San Borja 15036",39,131, , ,googleplaces
73582,Sofá Café San Borja,Cafetería,-12.0946412,-77.0099517,SAN BORJA,150130,"Avenida Del Parque Norte 930, San Borja 15036",42,2545, , ,googleplaces
124396,KFC - La Rambla,Restaurante especializado en pollo,-12.0903506,-77.0050225,SAN BORJA,150130,"Jirón Carpaccio 211 San Borja, Cercado de Lima 15036",39,216, , ,googleplaces
5353,Multimercados San Borja - Chicharrones,Restaurante,-12.0854057,-76.9966606,SAN BORJA,150130,"Av San Luis 1851, San Borja 15021",45,2, , ,googleplaces
26493,Kpop Restaurante,Restaurante,-12.0971337,-77.0023853,SAN BORJA,150130,"Av. Aviación 2852, Cercado de Lima 15036",50,1, , ,googleplaces
223234,Salón Xin Yan,Restaurante chino,-12.0883138,-76.9966443,SAN BORJA,150130,"Av San Luis 1950, San Borja 15037",46,5, , ,googleplaces
232380,Restaurant Criollo Miguelón,Restaurante peruano,-12.1061208,-76.9910055,SAN BORJA,150130,"Jr Paseo del Bosque, San Borja 15037",36,22, , ,googleplaces
299544,LA SAZÒN DELIVERY SAN BORJA,Restaurante,-12.0855564,-76.9941656,SAN BORJA,150130,"Iberico 126, Cercado de Lima 15021",50,1, , ,googleplaces
66597,Restaurante Pizca y Sazón,Restaurante,-12.0858876,-76.9964077,SAN BORJA,150130,"Av San Luis 1881, San Borja 15021",50,1, , ,googleplaces
172011,Yogashi Patisserie,Cafetería,-12.0946541,-77.0028501,SAN BORJA,150130,"Av. San Borja Nte. 598, San Borja 15036",47,532, , ,googleplaces
282549,restaurante asakuza,Restaurante,-12.0877243,-76.9985337,SAN BORJA,150130,"Av. Javier Prado Este 2638, San Borja 15037",50,1, , ,googleplaces
94672,Subway,Restaurante,-12.0890327,-77.004981,SAN BORJA,150130,"C.C. La Rambla, Int. M22 Av. Esq, Av. Javier Prado Este, San Borja 15036",41,15, , ,googleplaces
152714,Restaurante 549,Restaurante,-12.1042825,-76.9900561,SAN BORJA,150130,"Jr Paseo del Bosque, San Borja 15037",42,45, , ,googleplaces
117962,El Pan Criollo - San Borja,Panadería,-12.0973239,-77.00201,SAN BORJA,150130,"Av. Aviación 2867, San Borja 15037",43,267, , ,googleplaces
238892,El Chanchito,Cafetería,-12.100116,-77.002016,SAN BORJA,150130,"Avenida Aviación 3042 San Borja Lima 41, 15036",41,154, , ,googleplaces
